fill	x	y	key	showSelectedlegendcolourfill	clickSelects.variable	clickSelects.value
#FF0000	0.61494462699282	0.997252747252747	glmnet 2 61	glmnet	glmnet	61
#FF0000	0.62492393817695	0.997802197802198	glmnet 2 62	glmnet	glmnet	62
#FF0000	0.634903249361081	0.998901098901099	glmnet 2 63	glmnet	glmnet	63
#FF0000	0.644882560545211	0.998901098901099	glmnet 2 64	glmnet	glmnet	64
#FF0000	0.654983570646221	0.998901098901099	glmnet 2 65	glmnet	glmnet	65
#FF0000	0.664962881830352	0.998901098901099	glmnet 2 66	glmnet	glmnet	66
#FF0000	0.674942193014482	0.998901098901099	glmnet 2 67	glmnet	glmnet	67
#FF0000	0.684921504198613	0.998901098901099	glmnet 2 68	glmnet	glmnet	68
#FF0000	0.694900815382743	0.998901098901099	glmnet 2 69	glmnet	glmnet	69
#FF0000	0.704880126566874	0.999450549450549	glmnet 2 70	glmnet	glmnet	70
#FF0000	0.714981136667884	0.999450549450549	glmnet 2 71	glmnet	glmnet	71
#FF0000	0.724960447852014	0.999450549450549	glmnet 2 72	glmnet	glmnet	72
#FF0000	0.734939759036145	0.999450549450549	glmnet 2 73	glmnet	glmnet	73
#FF0000	0.744919070220275	1	glmnet 2 74	glmnet	glmnet	74
#FF0000	0.754898381404406	1	glmnet 2 75	glmnet	glmnet	75
#FF0000	0.764999391505416	1	glmnet 2 76	glmnet	glmnet	76
#FF0000	0.774978702689546	1	glmnet 2 77	glmnet	glmnet	77
#FF0000	0.784958013873677	1	glmnet 2 78	glmnet	glmnet	78
#FF0000	0.794937325057807	1	glmnet 2 79	glmnet	glmnet	79
#FF0000	0.804916636241937	1	glmnet 2 80	glmnet	glmnet	80
#FF0000	0.814895947426068	1	glmnet 2 81	glmnet	glmnet	81
#FF0000	0.824996957527078	1	glmnet 2 82	glmnet	glmnet	82
#FF0000	0.834976268711209	1	glmnet 2 83	glmnet	glmnet	83
#FF0000	0.844955579895339	1	glmnet 2 84	glmnet	glmnet	84
#FF0000	0.85493489107947	1	glmnet 2 85	glmnet	glmnet	85
#FF0000	0.8649142022636	1	glmnet 2 86	glmnet	glmnet	86
#FF0000	0.87489351344773	1	glmnet 2 87	glmnet	glmnet	87
#FF0000	0.88499452354874	1	glmnet 2 88	glmnet	glmnet	88
#FF0000	0.894973834732871	1	glmnet 2 89	glmnet	glmnet	89
#FF0000	0.904953145917001	1	glmnet 2 90	glmnet	glmnet	90
#FF0000	0.914932457101132	1	glmnet 2 91	glmnet	glmnet	91
#FF0000	0.924911768285262	1	glmnet 2 92	glmnet	glmnet	92
#FF0000	0.934891079469393	1	glmnet 2 93	glmnet	glmnet	93
#FF0000	0.944992089570403	1	glmnet 2 94	glmnet	glmnet	94
#FF0000	0.954971400754533	1	glmnet 2 95	glmnet	glmnet	95
#FF0000	0.964950711938664	1	glmnet 2 96	glmnet	glmnet	96
#FF0000	0.974930023122794	1	glmnet 2 97	glmnet	glmnet	97
#FF0000	0.984909334306925	1	glmnet 2 98	glmnet	glmnet	98
#FF0000	0.994888645491055	1	glmnet 2 99	glmnet	glmnet	99
#FF0000	1	1	glmnet 2 100	glmnet	glmnet	100
#000000	0	0	major.class 2 0	major.class	major.class	0
#000000	1	1	major.class 2 100	major.class	major.class	100
#0000FF	0	0	xgboost 2 0	xgboost	xgboost	0
#0000FF	0.0149689667761957	0.198901098901099	xgboost 2 1	xgboost	xgboost	1
#0000FF	0.0249482779603262	0.293956043956044	xgboost 2 2	xgboost	xgboost	2
#0000FF	0.0349275891444566	0.35989010989011	xgboost 2 3	xgboost	xgboost	3
#0000FF	0.0449069003285871	0.414285714285714	xgboost 2 4	xgboost	xgboost	4
#0000FF	0.0548862115127175	0.464285714285714	xgboost 2 5	xgboost	xgboost	5
#0000FF	0.0649872216137276	0.498351648351648	xgboost 2 6	xgboost	xgboost	6
#0000FF	0.0749665327978581	0.540659340659341	xgboost 2 7	xgboost	xgboost	7
#0000FF	0.0849458439819886	0.581318681318681	xgboost 2 8	xgboost	xgboost	8
#0000FF	0.094925155166119	0.613186813186813	xgboost 2 9	xgboost	xgboost	9
#0000FF	0.104904466350249	0.642857142857143	xgboost 2 10	xgboost	xgboost	10
#0000FF	0.11488377753438	0.667582417582418	xgboost 2 11	xgboost	xgboost	11
#0000FF	0.12498478763539	0.694505494505495	xgboost 2 12	xgboost	xgboost	12
