linetype	fill	colour	xmin	xmax	ymin	ymax	key	showSelectedlegendlinetype	showSelectedlegendfill	showSelected.variable	showSelected.value	showSelected2	PANEL
1	#B3B3B3	#0000FF	0.5	1.5	2943	10037	xgboost 1 negative	error	negative	xgboost	86	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	87	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	2861	10037	xgboost 1 negative	error	negative	xgboost	87	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	88	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	2780	10037	xgboost 1 negative	error	negative	xgboost	88	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	89	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	2697	10037	xgboost 1 negative	error	negative	xgboost	89	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	90	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	2615	10037	xgboost 1 negative	error	negative	xgboost	90	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	91	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	2534	10037	xgboost 1 negative	error	negative	xgboost	91	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	92	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	2451	10037	xgboost 1 negative	error	negative	xgboost	92	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	93	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	2369	10037	xgboost 1 negative	error	negative	xgboost	93	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	94	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	2287	10037	xgboost 1 negative	error	negative	xgboost	94	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	95	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	2205	10037	xgboost 1 negative	error	negative	xgboost	95	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	96	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	2125	10037	xgboost 1 negative	error	negative	xgboost	96	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	97	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	2041	10037	xgboost 1 negative	error	negative	xgboost	97	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	98	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	1959	10037	xgboost 1 negative	error	negative	xgboost	98	xgboost	1
